order_id,order_date,customer_id,customer_name,gender,age,signup_date,last_order_date,city,product_id,product_name,brand,category,price,quantity,payment_mode,order_status,return_date,return_reason
22,2025-09-16,CUST0660,Karthik Menon,Male,32.0,2025-07-08,2025-12-12,Pune,PROD0963,HP Product 93,Adidas,Books,60807.83,4.0,COD,Returned,2025-12-18,Defective
23,2025-12-26,CUST4737,Deepa Gupta,Female,36.0,2025-09-16,2025-05-31,Pune,PROD0415,Samsung Product 61,Mi,Footwear,65861.78,3.0,Card,Cancelled,2025-09-20,Size Issue
24,2025-09-09,CUST0624,Anjali Sharma,Male,18.0,2025-12-24,2026-01-04,Madurai,PROD0002,Samsung Product 100,Levis,Electronics,74720.9,5.0,UPI,Cancelled,2025-02-06,Size Issue
25,2025-08-21,CUST3171,Vikram Iyer,Male,31.0,2024-12-25,2025-05-11,Kochi,PROD0404,Apple Product 54,Samsung,Footwear,66587.94,8.0,UPI,Pending,2025-06-10,Quality Issue
26,2026-02-12,CUST4724,Meera Singh,Male,34.0,2025-07-25,2026-02-26,Bangalore,PROD0104,OnePlus Product 79,Sony,Footwear,45678.96,3.0,UPI,Pending,2025-04-22,Size Issue
27,2025-12-15,CUST2962,Karthik Rao,Male,35.0,2025-05-04,2025-07-13,Puducherry,PROD0822,Nike Product 52,Levis,Footwear,33907.6,9.0,COD,Pending,2025-06-10,Wrong Item
28,2025-03-09,CUST4494,Sneha Reddy,Male,25.0,2025-03-04,2025-10-31,Madurai,PROD0916,Mi Product 77,Samsung,Footwear,27801.92,8.0,COD,Delivered,2025-05-15,Size Issue
29,2025-06-25,CUST4556,Anjali Sharma,Female,22.0,2025-09-13,2026-01-10,Puducherry,PROD0022,Adidas Product 15,HP,Books,18677.23,6.0,COD,Delivered,2025-08-18,Quality Issue
30,2025-12-31,CUST0563,Meera Gupta,Female,43.0,2025-08-12,2025-09-21,Pune,PROD0283,OnePlus Product 8,Samsung,Clothing,32862.38,5.0,Card,Delivered,2025-10-13,
31,2025-11-13,CUST0816,Ravi Gupta,Female,46.0,2025-10-29,2025-02-04,Delhi,PROD0192,OnePlus Product 85,Nike,Books,48587.69,1.0,Card,Cancelled,2025-06-21,
32,2025-08-08,CUST2206,Anjali Sharma,Female,44.0,2025-09-20,2025-02-15,Coimbatore,PROD0373,OnePlus Product 6,Sony,Electronics,66320.3,9.0,COD,Delivered,2025-02-06,Wrong Item
33,2025-06-30,CUST0607,Amit Rao,Female,31.0,2024-09-07,2025-07-07,Coimbatore,PROD0993,Adidas Product 45,Sony,Clothing,6113.3,5.0,UPI,Delivered,2026-02-20,Wrong Item
34,2025-06-10,CUST3328,Karthik Menon,Male,39.0,2025-04-19,2025-05-08,Bangalore,PROD0018,OnePlus Product 97,Adidas,Clothing,41981.69,6.0,COD,Delivered,2025-02-27,Size Issue
35,2025-05-31,CUST3010,Vikram Menon,Female,38.0,2024-11-02,2026-01-21,Coimbatore,PROD0986,Dell Product 64,Levis,Footwear,55687.26,1.0,UPI,Returned,2026-01-28,Size Issue
36,2025-10-26,CUST4342,Vikram Nair,Female,21.0,2024-11-23,2025-02-08,Madurai,PROD0477,Adidas Product 20,Adidas,Books,22590.01,3.0,Card,Cancelled,2025-11-02,Quality Issue
37,2025-06-22,CUST4116,Anjali Nair,Male,37.0,2025-04-17,2025-09-21,Madurai,PROD0512,Samsung Product 57,Adidas,Clothing,30060.4,3.0,UPI,Pending,2025-05-23,Defective
38,2025-04-02,CUST4930,Rahul Nair,Female,70.0,2024-07-21,2025-06-02,Delhi,PROD0698,Samsung Product 56,Samsung,Footwear,40927.03,6.0,UPI,Returned,2025-11-10,
39,2025-06-19,CUST4934,Amit Patel,Female,28.0,2024-07-24,2025-04-11,Mumbai,PROD0993,Levis Product 59,Apple,Home,62176.24,5.0,UPI,Pending,2025-04-13,Wrong Item
40,2025-07-15,CUST4870,Vikram Gupta,Female,38.0,2025-05-16,2025-02-16,Delhi,PROD0867,Levis Product 3,HP,Books,47988.53,4.0,COD,Pending,2025-05-24,Wrong Item
41,2025-06-07,CUST1683,Sneha Iyer,Male,32.0,2024-09-28,2025-11-15,Delhi,PROD0787,Apple Product 75,Dell,Footwear,33203.37,7.0,COD,Pending,2025-12-12,Size Issue
42,2025-08-17,CUST0117,Anjali Singh,Female,36.0,2024-10-05,2026-01-28,Bangalore,PROD0908,HP Product 72,HP,Books,30966.99,1.0,UPI,Pending,2025-08-27,Defective
43,2025-02-17,CUST3673,Rahul Reddy,Male,35.0,2025-10-01,2025-08-25,Delhi,PROD0885,Samsung Product 18,Apple,Home,48051.16,7.0,UPI,Returned,2025-07-11,Quality Issue
44,2025-03-10,CUST2295,Anjali Iyer,Female,18.0,2024-08-15,2025-06-03,Bangalore,PROD0656,Samsung Product 88,Sony,Footwear,12319.16,6.0,UPI,Cancelled,2025-07-04,Defective
45,2025-02-16,CUST2142,Deepa Gupta,Male,25.0,2025-08-27,2025-07-23,Bangalore,PROD0912,Nike Product 43,OnePlus,,7788.64,5.0,UPI,Delivered,2025-02-08,Defective
46,2025-04-10,CUST1758,Sneha Iyer,Male,29.0,2025-05-23,2025-01-23,Chennai,PROD0762,Adidas Product 58,Mi,Home,46380.83,5.0,COD,Returned,2025-04-10,Quality Issue
47,2025-09-07,CUST3731,Karthik Sharma,Female,31.0,2025-08-16,2025-04-06,Chennai,PROD0769,OnePlus Product 82,Sony,Books,40683.62,4.0,Card,Delivered,2025-01-16,
48,2025-10-07,CUST0336,Sneha Nair,Male,27.0,2025-02-13,2026-01-19,Chennai,PROD0160,Sony Product 86,Dell,Home,70547.15,8.0,Card,Pending,2026-01-31,
49,2026-02-21,CUST2739,Rahul Reddy,Female,48.0,2025-08-01,2025-04-11,Puducherry,PROD0268,OnePlus Product 40,OnePlus,Clothing,29264.65,1.0,COD,Pending,2025-06-17,
50,2025-11-26,CUST1067,Meera Iyer,Male,20.0,2025-12-08,2025-10-12,Puducherry,PROD0397,Levis Product 44,Dell,Books,16486.89,2.0,Card,Cancelled,2025-09-10,Size Issue
51,2025-12-03,CUST4186,Deepa Iyer,Male,35.0,2025-07-23,2025-04-25,Chennai,PROD0617,HP Product 63,HP,Books,37454.79,5.0,COD,Pending,2025-04-24,
52,2025-03-16,CUST0413,Sneha Singh,Male,26.0,2025-06-11,2026-02-24,Coimbatore,PROD0729,Dell Product 17,Nike,Footwear,60359.33,9.0,Card,Delivered,2025-06-13,
53,2025-07-11,CUST2787,Karthik Singh,Male,38.0,2024-09-07,2025-02-05,Coimbatore,PROD0978,Sony Product 12,Samsung,Books,19126.23,8.0,COD,Pending,2025-05-31,Defective
54,2025-07-09,CUST4133,Sneha Reddy,Male,25.0,2025-06-04,2025-07-02,Madurai,PROD0525,Samsung Product 23,Adidas,Books,55623.2,3.0,COD,Pending,2025-12-27,Size Issue
55,2025-03-25,CUST0729,Anjali Rao,Female,38.0,2025-05-08,2026-02-01,Coimbatore,PROD0699,Apple Product 48,Samsung,Electronics,7948.87,4.0,COD,Delivered,2026-01-31,Size Issue
56,2025-08-21,CUST4172,Anjali Menon,Male,18.0,2025-02-20,2025-10-11,Chennai,PROD0718,Dell Product 6,Adidas,Books,50919.36,4.0,UPI,Pending,2025-12-05,Wrong Item
57,2025-03-10,CUST4492,Priya Menon,Female,23.0,2024-06-25,2026-01-14,Madurai,PROD0469,Sony Product 11,Dell,Footwear,56551.9,7.0,COD,Delivered,2025-05-24,Wrong Item
58,2025-02-26,CUST1063,Rahul Sharma,Female,32.0,2024-09-17,2025-06-30,Bangalore,PROD0042,Adidas Product 25,Dell,Footwear,73081.49,5.0,COD,Delivered,2025-06-12,
59,2025-05-26,CUST4847,Karthik Patel,Male,29.0,2024-06-09,2025-03-15,Bangalore,PROD0954,OnePlus Product 37,Adidas,Clothing,46557.25,6.0,Card,Returned,2025-01-07,Quality Issue
60,2025-06-23,CUST1192,Karthik Patel,Male,40.0,2024-11-17,2026-01-28,Hyderabad,PROD0946,Samsung Product 92,Samsung,Clothing,66946.32,2.0,UPI,Cancelled,2025-01-05,Defective
61,2025-05-16,CUST1389,Karthik Menon,Female,18.0,2025-05-08,2025-05-25,Chennai,PROD0511,Sony Product 19,Levis,Home,68123.18,4.0,UPI,Delivered,2025-10-19,Size Issue
62,2025-03-11,CUST3487,Meera Menon,Female,33.0,2025-08-19,2025-12-30,Madurai,PROD0182,Samsung Product 64,Apple,Books,53028.79,3.0,COD,Returned,2025-02-08,
63,2025-08-30,CUST1244,Priya Menon,Male,18.0,2024-07-28,2025-05-28,Hyderabad,PROD0476,Apple Product 46,Sony,Electronics,57656.02,9.0,Card,Pending,2026-02-27,Quality Issue
64,2025-01-01,CUST1997,Anjali Patel,Male,28.0,2025-05-14,2025-07-09,Bangalore,PROD0505,Nike Product 6,Levis,Books,28427.86,1.0,UPI,Delivered,2026-02-13,Defective
65,2025-05-14,CUST2106,Karthik Nair,Female,29.0,2025-12-08,2025-06-22,Hyderabad,PROD0672,Mi Product 35,HP,Books,41922.38,5.0,Card,Pending,2025-03-21,Quality Issue
66,2026-01-09,CUST3285,Anjali Reddy,Female,37.0,2024-12-20,2025-09-09,Puducherry,PROD0229,HP Product 47,Dell,Clothing,19347.77,3.0,Card,Pending,2025-01-20,Defective
67,2025-01-01,CUST1397,Anjali Reddy,Male,25.0,2025-12-18,2026-01-09,Delhi,PROD0259,Samsung Product 4,Adidas,Books,67636.27,9.0,Card,Pending,2025-01-12,Size Issue
68,2025-11-26,CUST2784,Priya Rao,Female,22.0,2025-05-24,2026-02-12,Hyderabad,PROD0668,Samsung Product 71,Levis,Clothing,25506.67,4.0,Card,Cancelled,2025-03-31,
69,2025-01-28,CUST2780,Anjali Menon,Male,18.0,2024-07-11,2025-08-16,Coimbatore,PROD0704,HP Product 74,Sony,Home,34266.44,1.0,COD,Cancelled,2025-07-20,
70,2026-02-21,CUST2509,Ravi Sharma,Female,26.0,2025-12-10,2025-02-04,Hyderabad,PROD0253,Mi Product 37,Levis,Books,70569.62,3.0,Card,Cancelled,2025-09-13,Size Issue
71,2025-01-10,CUST2872,Meera Reddy,Male,40.0,2025-01-28,2025-09-08,Madurai,PROD0877,Nike Product 99,OnePlus,Home,12780.15,8.0,UPI,Returned,2025-10-16,Defective
72,2026-01-09,CUST3137,Karthik Rao,Female,34.0,2024-10-24,2025-08-12,Hyderabad,PROD0239,Dell Product 98,Mi,Clothing,11706.06,5.0,Card,Returned,2025-10-09,Size Issue
73,2025-10-10,CUST4785,Meera Reddy,Male,35.0,2025-09-04,2026-02-21,Delhi,PROD0610,Samsung Product 51,Nike,Footwear,3243.23,1.0,COD,Pending,2026-02-09,Quality Issue
74,2025-11-07,CUST4614,Vikram Reddy,Female,31.0,2025-09-19,2025-07-16,Hyderabad,PROD0863,Samsung Product 50,Mi,Books,56368.35,3.0,UPI,Pending,2025-01-23,Size Issue
75,2025-03-19,CUST2049,Rahul Nair,Male,27.0,2024-07-21,2025-06-22,Kochi,PROD0717,OnePlus Product 66,OnePlus,Home,15938.46,1.0,UPI,Returned,2026-01-04,Defective
76,2025-10-15,CUST2082,Priya Nair,Male,38.0,2025-05-14,2025-04-05,Madurai,PROD0072,Apple Product 75,Mi,Books,2152.76,2.0,Card,Delivered,2025-04-28,Quality Issue
77,2025-02-23,CUST0236,Sneha Nair,Female,27.0,2025-06-24,2025-08-10,Mumbai,PROD0763,Mi Product 42,Adidas,Footwear,30559.47,7.0,COD,Pending,2025-07-26,Size Issue
78,2025-08-17,CUST3982,Vikram Gupta,Female,41.0,2025-12-30,2025-03-16,Coimbatore,PROD0435,Sony Product 72,Levis,Books,67784.75,2.0,UPI,Cancelled,2025-10-21,Defective
79,2025-12-01,CUST2483,Anjali Singh,Male,48.0,2025-08-21,2025-11-04,Delhi,PROD0249,OnePlus Product 95,Nike,Books,38792.22,8.0,UPI,Delivered,2025-12-01,
80,2025-01-30,CUST4855,Amit Nair,Female,45.0,2024-09-14,2025-02-20,Hyderabad,PROD0081,Apple Product 99,OnePlus,Electronics,71239.29,4.0,Card,Delivered,2025-05-18,Quality Issue
81,2025-12-06,CUST3032,Vikram Kumar,Male,32.0,2024-08-08,2025-02-03,Kochi,PROD0774,Dell Product 65,Nike,Footwear,37200.05,3.0,Card,Pending,2025-04-21,Size Issue
82,2025-09-06,CUST3446,Karthik Nair,Male,40.0,2025-11-02,2026-01-23,Coimbatore,PROD0360,Nike Product 1,Nike,Footwear,52389.36,9.0,Card,Pending,2025-07-14,Defective
83,2025-06-09,CUST1970,Amit Nair,Female,32.0,2024-07-31,2025-05-02,Hyderabad,PROD0051,Nike Product 18,Adidas,Books,3544.71,5.0,COD,Cancelled,2025-04-02,
84,2025-06-19,CUST3901,Priya Menon,Female,43.0,2025-11-16,2026-02-09,Kochi,PROD0838,Nike Product 74,Dell,Books,9487.37,9.0,UPI,Returned,2025-01-12,
85,2025-03-19,CUST1754,Meera Kumar,Female,26.0,2024-08-12,2025-10-09,Bangalore,PROD0249,Apple Product 55,Samsung,Electronics,36345.33,6.0,Card,Cancelled,2025-08-27,Quality Issue
86,2025-02-25,CUST4203,Karthik Rao,Female,20.0,2024-07-18,2025-03-02,Kochi,PROD0337,Sony Product 16,Mi,Clothing,21127.38,1.0,Card,Returned,2025-01-08,
87,2025-07-26,CUST0303,Sneha Gupta,Male,25.0,2024-07-26,2025-08-02,Chennai,PROD0526,HP Product 79,Apple,Electronics,46559.98,7.0,COD,Cancelled,2025-03-19,Size Issue
88,2025-08-04,CUST0365,Ravi Patel,Female,38.0,2025-11-08,2025-07-06,Madurai,PROD0312,Sony Product 31,Dell,Books,10417.21,3.0,COD,Cancelled,2025-04-21,Quality Issue
89,2025-10-01,CUST1907,Deepa Nair,Female,37.0,2024-06-15,2025-07-11,Mumbai,PROD0985,Adidas Product 31,Levis,Clothing,55436.69,7.0,UPI,Cancelled,2025-09-30,Wrong Item
90,2025-08-19,CUST0126,Anjali Reddy,Male,39.0,2025-11-19,2025-05-25,Puducherry,PROD0525,Nike Product 98,Mi,Clothing,44722.64,4.0,Card,Cancelled,2026-01-29,Quality Issue
91,2025-04-21,CUST4207,Meera Gupta,Male,32.0,2025-09-13,2025-02-03,Kochi,PROD0623,Levis Product 34,Adidas,Home,56035.24,1.0,UPI,Cancelled,2025-08-24,
92,2025-03-24,CUST2473,Meera Nair,Male,47.0,2025-10-31,2025-06-29,Coimbatore,PROD0282,Sony Product 33,Adidas,Home,45762.86,8.0,Card,Returned,2025-11-11,Defective
93,2025-10-16,CUST1461,Priya Kumar,Female,32.0,2025-03-04,2025-07-17,Mumbai,PROD0582,Mi Product 59,OnePlus,Books,18823.85,4.0,COD,Delivered,2025-12-16,
94,2025-11-27,CUST3518,Ravi Menon,Female,33.0,2025-05-16,2025-04-05,Chennai,PROD0664,Nike Product 25,Levis,Footwear,67309.02,7.0,UPI,Cancelled,2026-01-22,Defective
95,2025-02-05,CUST0920,Ravi Sharma,Female,18.0,2025-01-09,2025-01-06,Mumbai,PROD0322,HP Product 83,OnePlus,Electronics,43411.88,4.0,COD,Returned,2025-12-01,Wrong Item
96,2025-05-14,CUST0118,Meera Kumar,Female,39.0,2025-10-17,2025-03-03,Pune,PROD0441,Levis Product 21,OnePlus,Home,54025.07,8.0,COD,Delivered,2025-01-26,Defective
97,2025-11-22,CUST1142,Sneha Sharma,Female,41.0,2025-01-11,2025-01-20,Coimbatore,PROD0113,Sony Product 71,HP,Books,39973.08,1.0,Card,Delivered,2025-03-31,Size Issue
98,2025-05-22,CUST4416,Deepa Reddy,Male,24.0,2025-12-02,2025-10-20,Chennai,PROD0894,Dell Product 56,Mi,Electronics,12000.02,4.0,COD,Returned,2025-11-29,Defective
99,2025-06-27,CUST2040,Rahul Gupta,Male,25.0,2024-06-10,2025-09-18,Delhi,PROD0919,Samsung Product 22,HP,Electronics,41394.69,2.0,UPI,Cancelled,2025-01-13,Defective
100,2025-06-17,CUST3714,Deepa Iyer,Female,32.0,2025-04-17,2025-11-15,Madurai,PROD0613,Sony Product 78,Nike,Clothing,701.96,9.0,COD,Cancelled,2026-02-03,Quality Issue
101,2025-04-04,CUST1119,Meera Gupta,Male,18.0,2025-04-14,2025-08-24,Coimbatore,PROD0946,Nike Product 57,Samsung,Home,9760.14,8.0,UPI,Returned,2025-05-17,
102,2026-02-22,CUST2636,Karthik Menon,Female,24.0,2025-11-29,2025-01-01,Kochi,PROD0296,Samsung Product 14,Sony,Books,54258.94,8.0,UPI,Pending,2025-09-24,Defective
103,2025-10-13,CUST1315,Sneha Menon,Male,26.0,2024-11-12,2025-01-05,Madurai,PROD0851,Dell Product 45,Adidas,Home,50057.19,4.0,COD,Pending,2025-03-30,
104,2025-08-25,CUST1066,Anjali Sharma,Female,38.0,2024-08-28,2026-02-06,Chennai,PROD0296,Sony Product 83,Dell,Clothing,34170.17,8.0,UPI,Cancelled,2025-01-14,Size Issue
105,2025-12-19,CUST4671,Karthik Nair,Male,35.0,2024-10-21,2025-06-02,Bangalore,PROD0145,Samsung Product 74,Mi,Footwear,67518.31,7.0,UPI,Pending,2025-11-05,
106,2025-04-14,CUST2152,Deepa Rao,Female,40.0,2024-07-09,2025-07-17,Hyderabad,PROD0646,Levis Product 15,Dell,Home,25294.78,3.0,UPI,Cancelled,2025-02-11,Size Issue
107,2025-06-06,CUST2036,Anjali Iyer,Female,35.0,2025-09-21,2025-08-19,Pune,PROD0923,Mi Product 84,Adidas,Home,59250.49,6.0,Card,Pending,2025-04-07,Quality Issue
108,2026-02-15,CUST0951,Anjali Menon,Male,28.0,2025-03-16,2025-09-11,Kochi,PROD0196,Apple Product 98,Mi,Home,42956.78,5.0,UPI,Delivered,2025-05-03,Defective
109,2026-02-01,CUST4911,Priya Gupta,Female,28.0,2025-01-14,2025-12-31,Madurai,PROD0216,Nike Product 27,OnePlus,Footwear,45494.86,8.0,UPI,Pending,2025-09-18,Defective
110,2025-06-06,CUST2372,Karthik Kumar,Male,35.0,2024-10-08,2026-02-15,Hyderabad,PROD0095,HP Product 63,Levis,Home,45083.98,4.0,Card,Pending,2025-10-19,Quality Issue
111,2025-05-28,CUST4107,Deepa Iyer,,39.0,2025-02-09,2025-11-26,Coimbatore,PROD0872,Sony Product 9,HP,Home,43962.69,8.0,UPI,Cancelled,2025-01-23,Wrong Item
112,2025-10-30,CUST0346,Ravi Kumar,Female,48.0,2025-03-29,2025-12-29,Coimbatore,PROD0396,,Nike,Clothing,68433.0,8.0,UPI,Pending,2025-07-29,Size Issue
113,2025-11-12,CUST2731,Vikram Gupta,Male,30.0,2025-09-03,,Mumbai,PROD0356,Mi Product 88,Apple,Electronics,68946.91,5.0,Card,Delivered,2026-01-11,Wrong Item
114,2025-10-20,CUST0127,Vikram Patel,Male,32.0,2024-09-14,2025-04-02,Madurai,PROD0799,Dell Product 57,Nike,Clothing,45700.27,6.0,Card,Delivered,2025-02-20,Quality Issue
115,2025-08-02,CUST1793,Karthik Reddy,Male,34.0,2025-07-10,2025-12-12,Madurai,PROD0622,Levis Product 100,Apple,Footwear,14380.91,7.0,UPI,Delivered,2025-11-09,Size Issue
116,2025-01-01,CUST1855,Priya Gupta,Male,33.0,2025-12-19,2026-01-06,Hyderabad,PROD0936,OnePlus Product 54,Dell,Electronics,45788.13,9.0,Card,Returned,2025-11-05,
117,2025-04-27,CUST0575,Karthik Nair,Male,43.0,2025-01-30,2025-01-25,Bangalore,PROD0602,Dell Product 69,OnePlus,Electronics,69029.24,2.0,Card,Delivered,2026-01-26,
118,2025-07-29,CUST0475,Vikram Patel,Male,26.0,2025-07-23,2025-12-13,Kochi,PROD0529,Levis Product 22,Levis,Electronics,44236.58,3.0,UPI,Pending,2025-07-01,Defective
119,2025-07-17,CUST3573,Rahul Reddy,Male,32.0,2024-11-08,2025-06-26,Madurai,PROD0285,Samsung Product 30,Apple,Electronics,43753.83,6.0,Card,Delivered,2025-06-03,Quality Issue
120,2025-06-05,CUST3121,Sneha Nair,Female,19.0,2024-08-23,2025-12-27,Kochi,PROD0689,Apple Product 23,Mi,Home,42019.25,6.0,UPI,Returned,2025-03-04,
121,2025-09-14,CUST1760,Meera Gupta,Female,32.0,2024-10-19,2025-08-03,Kochi,PROD0435,Nike Product 20,HP,Books,16137.97,3.0,UPI,,2025-11-14,Wrong Item
122,2025-02-01,CUST2718,Rahul Gupta,Male,34.0,2025-03-12,2025-11-01,Puducherry,PROD0429,Mi Product 53,Sony,Electronics,28640.58,8.0,UPI,Delivered,2025-01-19,Size Issue
123,2025-04-23,CUST2162,Deepa Nair,Female,46.0,2025-01-08,2025-06-15,Bangalore,PROD0947,OnePlus Product 14,Dell,Footwear,12065.4,1.0,Card,Returned,2025-09-21,Size Issue
124,2026-02-17,CUST4151,Vikram Iyer,Female,18.0,2025-09-01,2026-01-01,Pune,PROD0162,Levis Product 34,Dell,Home,30950.7,7.0,Card,Cancelled,2025-02-24,Size Issue
125,2025-12-15,CUST3080,Karthik Reddy,Male,37.0,2025-04-09,2025-09-04,Puducherry,PROD0835,Nike Product 83,Dell,Footwear,17715.07,8.0,COD,Returned,2025-02-23,Quality Issue
126,2025-09-06,CUST3311,Sneha Patel,Female,24.0,2025-01-15,2025-03-08,Bangalore,PROD0051,Adidas Product 53,Adidas,Footwear,49129.59,8.0,COD,Delivered,2026-02-22,Wrong Item
127,2026-02-04,CUST4548,Anjali Reddy,Female,44.0,2025-10-13,2025-06-14,Bangalore,PROD0182,Levis Product 8,Adidas,Books,15771.33,7.0,COD,Delivered,2025-01-07,
128,2025-11-26,CUST0775,Karthik Reddy,Male,36.0,2024-10-29,2025-03-26,Hyderabad,PROD0147,Apple Product 91,OnePlus,Books,9646.88,3.0,UPI,Cancelled,2025-02-05,Size Issue
129,2026-01-20,CUST3595,Ravi Menon,Female,46.0,2025-06-21,2025-07-14,Mumbai,PROD0471,Sony Product 8,OnePlus,Clothing,3049.99,4.0,Card,Returned,2025-09-18,Wrong Item
130,2025-10-20,CUST1280,Amit Nair,Female,42.0,2025-01-12,2025-02-22,Madurai,PROD0940,Nike Product 86,Dell,Footwear,16853.53,6.0,COD,Delivered,2025-12-30,
131,2025-05-08,CUST4832,Meera Sharma,Male,42.0,2024-09-23,2025-07-28,Hyderabad,PROD0526,Samsung Product 91,Sony,Footwear,55755.68,2.0,Card,Delivered,2025-08-25,Size Issue
132,2025-10-08,CUST3431,Anjali Nair,Female,32.0,2024-12-18,2025-09-03,Bangalore,PROD0278,Samsung Product 5,Sony,Electronics,62702.3,4.0,COD,Delivered,2025-06-03,Quality Issue
133,2025-08-03,CUST0805,Karthik Patel,Female,19.0,2024-08-14,2025-11-22,Bangalore,PROD0146,Mi Product 93,Mi,Footwear,39959.8,4.0,COD,Cancelled,2025-02-10,Defective
134,2026-02-26,CUST2082,Meera Rao,Male,33.0,2024-06-17,2025-06-14,Coimbatore,PROD0153,Levis Product 51,Levis,Books,37561.13,7.0,Card,Pending,2025-04-27,Wrong Item
135,2025-11-05,CUST0455,Amit Sharma,Female,48.0,2025-07-06,2026-02-14,Bangalore,PROD0981,HP Product 67,Mi,Home,29043.82,2.0,UPI,Delivered,2025-11-06,
136,2025-12-29,CUST3777,Meera Patel,Female,48.0,2025-03-19,2026-01-06,Bangalore,PROD0794,HP Product 11,HP,Clothing,5584.6,8.0,Card,Returned,2025-01-11,
